63.2742 S, 115.9766 W
14.7610 S, 62.2616 E
88.7130 S, 25.2691 E
39.4921 N, 95.6529 W
33.5185 S, 88.6588 W
2.3565 N, 79.9753 E
30.6872 S, 73.0383 E
33.6911 N, 34.3064 E
24.2651 N, 71.9160 W
39.6363 S, 132.9285 W
56.0194 N, 32.1841 E
52.9648 S, 28.0473 W
80.3927 N, 176.1708 W
68.1854 S, 158.0146 W
5.2256 N, 63.7069 W
17.2967 S, 175.8314 E
54.0669 S, 68.2987 E
23.3075 S, 148.7787 E
30.5063 N, 35.0884 E
8.5926 S, 95.8966 W
2.6140 S, 168.0535 W
43.2530 N, 85.9113 W
14.8066 N, 109.5939 W
1.3126 S, 94.9894 E
62.0920 S, 112.1698 E
84.7498 N, 84.6539 E
3.7748 N, 1.7466 W
46.1747 N, 97.8443 E
0.2997 S, 30.9075 W
19.5611 N, 28.9141 E
1.7659 S, 78.3215 W
80.9799 S, 62.7150 E
73.7968 N, 49.8835 W
4.9463 S, 159.4819 W
72.7219 N, 113.6335 W
60.3366 S, 40.2645 E
70.1001 S, 112.0193 W
61.6399 N, 11.2173 W
37.7401 S, 179.1013 E
60.3077 S, 174.4732 W
47.0899 N, 168.6123 E
17.9965 N, 48.5675 E
65.2676 S, 154.4809 W
73.1590 N, 143.7916 W
35.9696 S, 20.8508 E
4.8934 N, 130.6079 E
87.9032 S, 63.0528 E
54.6352 N, 148.6211 W
75.8285 S, 103.5757 E
12.4394 S, 111.0464 E
70.0821 S, 145.1083 E
6.5057 N, 94.8014 E
24.3029 N, 45.0852 W
4.9030 S, 138.3868 W
88.2447 N, 112.4831 W
73.2902 S, 15.2459 E
46.1464 S, 163.4153 W
56.1469 S, 30.3196 E
51.0029 N, 44.4296 E
84.8569 N, 11.4845 E
49.3470 N, 93.3600 E
45.6638 N, 12.3111 E
18.7166 S, 30.6126 W
53.0586 N, 113.1358 W
36.2033 S, 19.0176 W
41.0670 N, 155.7391 W
81.9846 S, 66.6861 W
40.7683 N, 135.4466 E
15.8691 S, 131.2321 W
34.1431 S, 36.6432 E
73.6353 N, 149.1257 W
7.9438 N, 5.8663 W
57.7686 S, 58.5521 E
38.1496 N, 163.7939 E
78.4437 S, 71.8334 E
54.0774 N, 21.9535 E
89.2140 S, 35.1881 E
58.2902 S, 24.8166 W
42.0167 N, 48.6469 E
76.1519 N, 108.5848 W
13.3937 S, 127.9342 W
22.7271 N, 112.7321 W
83.0531 N, 166.1767 W
11.2001 N, 7.3644 W
39.4463 N, 71.5189 E
53.4533 N, 124.8630 E
24.3027 S, 65.9627 W
11.1564 S, 12.7587 E
53.4864 S, 25.1647 E
22.8425 S, 54.7183 E
11.3465 S, 138.8421 W
38.1740 N, 51.6130 W
46.3558 N, 6.6197 W
55.3431 S, 176.0564 W
12.7827 S, 171.6243 E
79.3555 N, 44.4150 E
27.4486 N, 46.8310 W
81.6514 N, 139.9760 E
29.7065 N, 147.2088 W
32.5558 S, 4.5496 W
24.5069 S, 149.8901 W
67.5855 S, 63.7591 W
2.9993 S, 74.7792 E
20.7694 S, 148.2979 E
18.3645 S, 85.9035 W
18.5549 N, 1.6775 E
87.8821 N, 112.5263 W
58.4935 S, 21.5540 E
42.8908 S, 154.8500 W
74.5014 S, 121.6117 W
76.5600 S, 144.1573 W
38.0431 N, 66.7409 E
31.1701 S, 131.7362 W
79.8216 N, 78.0346 E
26.6832 S, 89.9887 W
85.5015 N, 170.3076 E
39.2719 N, 174.1226 E
19.6097 S, 91.8410 W
13.5030 N, 25.3018 W
20.3256 N, 32.4090 E
34.4336 N, 108.5188 W
40.7467 N, 8.5353 W
63.8099 N, 11.6793 E
1.1018 N, 116.8011 W
15.8571 S, 89.2104 E
39.7227 S, 78.1197 W
35.7760 N, 141.7361 E
1.8337 N, 12.1886 E
5.2799 S, 98.4034 W
76.7020 N, 159.5186 W
75.3037 N, 88.2477 E
84.9746 S, 20.7107 W
76.8509 N, 81.4991 W
5.1740 N, 113.1979 W
54.8251 N, 30.1591 E
29.3626 S, 70.4086 E
46.2728 N, 69.4403 E
73.6111 S, 104.6541 E
57.1228 S, 23.4322 E
81.6449 N, 62.7926 W
54.3776 S, 179.5344 E
86.9359 S, 64.0776 W
5.5234 N, 174.5780 E
49.1149 S, 1.6765 E
12.2331 N, 164.7572 W
74.5280 N, 8.6405 E
61.5419 N, 121.7539 W
38.9951 S, 68.5410 W
32.1462 N, 86.4267 E
59.7636 N, 90.5668 W
89.0908 N, 33.1768 E
64.7761 S, 29.1041 W
15.5495 S, 116.2379 E
57.2306 S, 2.9099 W
55.0831 S, 69.9968 E
10.5520 N, 22.5807 E
16.3354 N, 135.3851 E
67.8135 S, 12.1263 W
9.1673 N, 33.9923 W
76.3040 S, 96.0455 E
64.2462 S, 61.0704 E
76.2341 N, 54.1099 E
22.8870 N, 45.8221 W
86.2393 S, 32.1968 E
12.3053 N, 57.6452 E
42.1806 S, 51.1909 E
75.1319 N, 141.4052 E
64.6986 N, 163.5149 W
78.9043 S, 104.8036 E
86.9649 S, 96.5028 W
19.6573 S, 45.1838 E
75.6884 N, 115.1571 W
86.7775 S, 153.6340 W
21.2696 S, 167.8662 W
34.0604 S, 77.3092 E
81.3867 N, 21.8644 W
36.7583 S, 74.6619 E
19.9469 N, 62.7213 W
56.5894 S, 21.2944 E
66.6329 S, 179.2550 E
0.4301 N, 134.2178 E
47.4311 S, 164.9646 W
42.5627 S, 46.4428 W
52.2525 N, 86.8616 E
25.8938 N, 58.8826 W
35.2217 S, 105.9864 E
87.5690 S, 113.7379 W
23.5986 N, 88.9311 E
56.2616 S, 75.7533 W
64.1457 N, 142.3170 W
50.8820 N, 112.8831 W
68.3927 N, 41.5690 W
27.6576 S, 158.2704 E
56.6059 N, 64.6040 E
4.3062 N, 58.8476 E
4.2652 S, 88.3538 E
16.0244 N, 13.4936 E
7.0543 S, 105.3635 E
88.9519 S, 71.5070 E
38.8171 S, 36.0516 W
74.8440 S, 179.9631 E
26.4094 N, 110.6181 E
68.4130 N, 32.7008 W
59.0713 S, 112.5263 E
19.3925 S, 5.4370 W
14.4564 N, 75.4980 W
10.4313 N, 121.3082 E
53.2284 N, 42.9498 W
88.8250 S, 144.0020 W
67.5356 S, 90.0510 E
62.9803 S, 3.7634 W
83.6449 N, 74.7947 E
57.8755 N, 81.7058 W
49.2367 N, 67.3017 E
73.4307 S, 156.4076 E
36.3210 S, 84.5661 W
21.0094 S, 27.6048 W
86.5346 S, 49.8647 W
53.8527 S, 51.7763 E
11.7378 N, 167.0215 W
79.2874 N, 106.7447 W
7.1695 S, 101.3993 E
54.7974 S, 53.4724 W
46.9210 S, 93.1262 W
37.8999 N, 132.3343 W
44.4417 S, 74.6496 E
33.1676 S, 130.3234 W
58.5751 N, 129.2118 W
82.0110 S, 140.8643 E
55.1261 N, 13.5223 W
4.0301 S, 86.0562 W
16.1183 N, 41.8517 E
44.6117 S, 134.9552 W
9.2898 S, 97.5304 W
67.9407 N, 134.8695 E
47.0396 N, 114.6101 E
83.7123 N, 25.1095 W
56.6198 S, 175.6842 E
64.4214 N, 177.7036 W
30.5623 S, 84.6299 W
47.6202 N, 170.5263 W
40.7107 S, 85.7166 W
88.5219 N, 29.1424 W
41.6676 S, 56.4074 E
76.0457 S, 104.0474 E
0.3078 S, 17.7629 W
71.0208 S, 81.5788 W
85.7496 N, 52.0632 E
35.2159 S, 105.9869 W
63.5686 S, 113.3556 W
51.9487 S, 179.5455 W
5.3454 N, 7.2859 W
6.9785 N, 29.6037 W
75.2558 S, 152.8486 W
33.9643 N, 104.1426 E
63.0885 N, 59.5946 E
82.7814 S, 57.9509 W
71.9141 N, 58.2857 W
36.2681 S, 26.8042 E
71.6593 S, 31.5357 W
28.8552 S, 109.6801 E
78.4558 S, 118.3102 W
28.5003 N, 121.0172 E
39.4896 S, 25.9068 E
62.7107 S, 23.7819 W
3.2231 N, 120.5878 W
73.9368 S, 115.8380 E
54.0166 S, 45.2781 E
13.2268 N, 120.7015 W
80.1034 S, 104.6025 W
53.8155 N, 119.2520 E
71.1474 N, 109.0594 E
49.7021 N, 91.2424 E
35.6701 S, 73.5267 E
56.4777 S, 15.9670 W
89.1167 N, 14.7888 W
47.8043 S, 19.2411 W
45.6789 N, 157.4011 E
2.4853 S, 22.8897 E
20.3754 S, 34.6164 W
33.9604 S, 7.9694 W
59.2087 N, 94.5869 W
3.2219 N, 40.1832 W
89.9198 S, 175.6183 W
78.6535 N, 86.6068 E
74.7428 S, 97.9958 E
33.8774 N, 38.8228 E
72.2950 S, 1.2390 W
39.8908 S, 51.1775 W
21.8254 S, 172.4528 E
70.2502 S, 179.0692 E
81.4551 S, 169.6894 W
33.0402 S, 80.0658 E
87.8542 N, 162.4902 W
31.7797 S, 160.1530 W
67.5733 N, 104.8684 W
44.9985 N, 154.0689 W
32.2291 S, 84.9565 W
67.7375 N, 105.3599 E
26.6415 N, 38.3000 E
81.6395 S, 144.2585 E
80.3163 N, 79.6644 E
2.2900 N, 24.9612 E
30.7660 S, 41.7662 E
26.6853 S, 52.0099 W
61.4995 N, 163.2289 W
83.1940 S, 177.7222 W
14.6790 S, 160.5887 E
0.0236 S, 32.2266 W
74.7341 S, 28.4823 E
66.5664 S, 114.2307 W
42.8704 N, 154.2788 W
59.7562 N, 14.8147 W
70.3711 N, 91.3991 W
0.8437 S, 148.8491 E
25.3907 N, 114.0039 W
65.2239 S, 114.0722 W
34.0087 S, 82.7478 W
15.5521 N, 86.6271 W
42.7503 S, 148.5293 W
24.3728 N, 75.7276 E
25.6193 S, 74.6154 W
80.9771 N, 147.1976 W
65.7437 S, 157.0297 E
6.1799 N, 152.2978 E
7.8183 N, 63.4332 W
20.3977 S, 76.2398 W
83.2834 S, 74.5871 E
17.7141 N, 175.0152 W
39.0920 N, 63.1925 W
88.3341 N, 126.2772 E
14.9125 N, 23.8427 E
37.8964 N, 139.2809 E
33.2289 N, 176.3082 E
38.6368 N, 16.6703 E
33.8760 S, 169.6702 E
46.2192 S, 62.0167 W
20.4307 N, 35.7976 E
43.0370 S, 45.9962 W
27.8272 N, 165.8210 W
73.1447 N, 52.8308 E
48.3992 N, 66.5330 W
34.5894 S, 35.9465 E
79.0086 S, 171.2732 E
32.0470 N, 0.9183 W
83.2922 N, 103.6150 W
53.7001 S, 72.3642 W
80.2105 S, 166.3507 W
45.9660 S, 146.8587 W
85.7679 S, 57.3901 E
83.0718 N, 10.1191 W
77.0749 S, 53.3815 W
79.0782 N, 37.7052 W
77.4980 S, 166.4497 E
64.6591 N, 177.8939 W
8.5433 N, 129.5038 E
79.2154 S, 170.3992 W
29.5527 S, 97.4930 E
16.0723 S, 13.0586 E
67.9865 S, 47.4930 W
81.1123 N, 164.0551 E
31.9026 N, 143.7155 W
74.5925 N, 138.2835 W
13.4084 N, 1.1222 W
37.8605 S, 160.5095 E
84.7119 S, 175.8065 W
77.5650 S, 176.3105 W
84.3544 S, 20.0192 E
63.8391 S, 136.1798 W
56.5662 S, 16.4766 E
18.6319 S, 125.3207 W
69.3748 S, 0.4871 E
73.9073 S, 113.1528 E
0.4043 N, 58.6191 E
10.8402 N, 112.9492 W
80.8048 N, 107.2965 E
57.3324 N, 152.1230 W
6.0459 S, 4.3034 E
45.0497 N, 92.2470 W
14.5442 N, 118.2404 W
70.9979 S, 140.1429 W
23.6561 S, 15.2887 W
21.7814 N, 17.6082 W
0.0086 N, 87.1609 E
44.0107 N, 173.9370 W
21.0239 S, 160.4220 E
15.7174 N, 145.1330 W
61.8445 S, 91.1067 E
68.2970 N, 119.2828 W
16.2117 S, 104.9978 W
35.5467 N, 27.6653 E
16.7532 N, 33.7195 W
5.1530 N, 56.4841 W
12.2831 S, 137.9244 E
88.3081 S, 8.0868 W
14.5583 S, 164.8498 W
37.3434 N, 82.5326 W
45.4540 N, 70.1706 E
13.3395 S, 6.7330 W
7.4213 S, 117.8788 W
39.3450 S, 61.8429 W
10.3625 S, 87.5691 E
87.9655 S, 31.5139 E
28.0782 S, 174.2748 E
5.7012 N, 120.9154 E
37.3048 S, 24.7143 E
62.7685 N, 14.4284 E
2.6456 N, 121.7670 E
62.9542 S, 103.3223 E
33.7395 S, 177.7769 W
46.0528 N, 164.3130 E
87.6630 S, 117.4646 E
82.6684 N, 9.9994 W
75.1963 N, 177.5139 W
79.9277 S, 122.6238 W
83.6459 N, 26.4178 E
56.0250 S, 76.5184 W
16.7323 N, 134.6022 W
1.5484 N, 138.5634 W
16.3387 S, 153.0033 E
89.8367 S, 9.4214 W
15.7619 N, 75.9722 E
14.9309 N, 34.7581 W
14.4557 N, 34.9594 E
56.5258 N, 17.9388 W
35.1957 N, 10.0425 W
67.3616 N, 100.2179 E
81.2085 S, 43.3530 E
11.8426 N, 0.9982 E
86.6881 N, 15.6850 E
20.2618 N, 146.4543 E
81.3519 S, 145.0476 W
28.6085 N, 67.7056 W
74.9925 N, 17.9942 W
41.9114 S, 156.0675 W
36.5652 S, 56.7614 W
15.5734 N, 109.7246 W
68.3268 S, 31.4381 E
79.7223 N, 142.9390 W
29.0998 S, 117.2234 W
55.4280 S, 101.5041 E
68.0417 S, 46.0017 E
75.2424 S, 115.1498 E
21.3534 N, 103.8719 E
80.0203 N, 66.7626 W
44.4750 S, 37.5239 E
49.0719 N, 118.3893 E
34.2541 N, 83.8666 W
64.6223 N, 117.1166 E
2.3405 S, 179.1324 W
6.0979 S, 7.8781 E
68.7277 S, 92.6734 E
57.3038 S, 123.9632 W
47.1642 S, 113.4025 W
62.2403 N, 122.1251 W
46.6595 S, 122.5503 W
58.1130 N, 16.5753 W
74.2955 S, 107.4691 W
74.5381 N, 35.6035 E
59.5323 S, 71.1438 W
1.1647 S, 54.6523 E
74.3781 N, 73.3735 E
31.0164 S, 77.2151 E
77.7905 S, 18.7345 W
40.8250 N, 94.1037 W
14.3796 S, 134.2604 W
50.2296 S, 31.4201 E
64.8513 N, 145.1848 W
52.0250 S, 74.8420 E
0.6582 N, 78.6715 E
27.7711 N, 126.2362 E
18.3589 N, 139.9359 W
14.1507 N, 52.1693 E
73.9849 N, 156.5144 W
58.3792 N, 68.1375 W
47.8166 S, 74.0949 E
27.2727 S, 28.3512 W
15.3454 N, 177.3213 W
53.3333 S, 91.4268 E
54.8161 N, 7.9633 W
43.5083 S, 166.6160 W
9.5533 N, 5.6393 W
24.4625 S, 166.2424 W
84.4849 S, 38.5410 E
44.4308 S, 52.9178 E
48.8044 N, 15.3075 E
30.0051 N, 20.7013 W
61.0527 N, 50.6564 W
6.8886 S, 163.2660 E
5.5341 S, 82.9514 W
47.2334 N, 45.5582 E
67.9329 S, 60.5932 W
68.1456 N, 124.9225 E
7.4035 S, 78.2207 E
56.2551 N, 32.5513 W
68.8041 S, 87.0729 E
48.1123 N, 150.3093 E
12.9773 S, 73.5880 E
87.6010 N, 17.5675 E
49.0834 N, 109.2162 E
57.0006 S, 21.9587 E
81.4449 S, 16.9083 W
28.9847 S, 135.0828 E
48.5444 S, 145.6318 W
81.4701 S, 62.3950 E
11.2958 S, 90.3815 W
75.9930 S, 171.9174 E
64.4402 N, 20.4810 W
37.9441 S, 82.5314 W
69.7496 S, 7.1772 W
29.0783 N, 7.2356 W
39.2866 N, 141.1057 E
4.6034 S, 100.1566 E
83.2931 N, 33.3803 W
42.3575 N, 115.2617 W
89.0549 S, 145.2216 E
59.7063 S, 95.4441 E
7.6800 S, 109.8334 W
54.0512 S, 92.8185 W
82.4940 S, 42.7783 W
6.8076 S, 57.0057 W
73.1024 S, 148.4470 E
4.8714 S, 129.5675 W
83.3153 N, 113.7417 W
23.5746 S, 108.9128 E
88.4001 N, 145.4011 W
38.0098 N, 42.8409 W
62.5634 N, 39.7355 E
72.6763 S, 60.4489 E
53.9771 N, 75.7411 E
63.0526 N, 36.4645 W
28.7315 N, 149.2625 W
40.4371 S, 25.0306 W
80.5323 S, 116.0352 W
49.8843 N, 110.7654 W
79.1392 S, 53.8610 E
48.9947 S, 107.5612 W
5.1759 N, 109.1601 W
70.0335 N, 172.2094 W
12.5269 N, 75.9126 E
26.7402 S, 4.1097 E
18.9407 N, 73.2536 E
22.4137 N, 77.4822 E
76.7832 N, 143.3345 E
89.7643 N, 173.0610 W
85.1996 N, 1.3948 E
66.5904 N, 48.8449 W
80.0606 S, 88.4821 W
56.5157 N, 148.2857 W
54.4934 N, 24.9289 W
11.4886 N, 89.5293 W
31.4523 N, 22.1573 W
34.7296 N, 134.8596 E
57.2574 S, 134.0121 E
38.8770 N, 139.5327 W
5.1811 S, 6.4384 E
32.2065 N, 83.2334 E
0.4073 S, 18.5251 E
17.3130 N, 156.7415 W
4.1907 N, 104.3082 E
64.6023 N, 28.4857 W
41.9985 S, 9.1301 W
18.1958 N, 20.6166 W
70.6765 S, 42.0732 E
79.5161 S, 122.4128 W
47.8881 N, 152.8430 E
86.7487 N, 25.2047 W
81.1175 S, 154.4485 E
33.1736 S, 126.2285 E
7.3807 S, 164.9779 W
73.0067 N, 32.9810 E
13.9580 S, 7.8855 W
81.1282 S, 19.3512 W
49.0232 S, 69.8880 W
32.4500 S, 143.4090 W
5.9223 S, 82.4781 E
70.2421 N, 168.2521 W
1.2340 N, 82.4090 E
72.0276 S, 110.0582 W
2.2400 N, 78.0053 E
77.3492 N, 128.0892 W
66.6546 N, 70.1775 W
58.1993 N, 66.8915 W
89.6804 S, 110.4182 E
56.9065 S, 35.5889 W
69.0510 S, 123.0748 W
77.8305 S, 31.0299 E
10.0530 S, 130.2518 W
0.6684 N, 137.3682 W
42.3294 N, 12.2326 W
37.6371 S, 14.1874 E
60.7960 N, 50.6718 W
77.3842 N, 74.7254 E
20.4561 S, 140.6687 W
79.0558 N, 58.3681 E
37.1608 N, 19.9482 W
79.7167 S, 83.9079 W
67.4834 N, 40.9391 W
80.4716 S, 32.5222 W
53.0578 S, 10.3080 E
51.6337 N, 157.9071 E
51.6690 N, 41.9651 W
58.7602 N, 20.0962 W
79.7888 S, 111.4095 E
65.2175 N, 160.4423 W
37.6336 N, 103.3303 E
25.8178 N, 12.9349 W
61.3788 S, 34.8185 E
10.8163 N, 38.6018 E
14.7246 N, 106.1958 E
81.6263 N, 165.3423 W
8.0421 S, 86.8575 W
76.1865 S, 121.7595 W
1.8283 S, 69.5946 W
21.5975 S, 144.2715 E
43.4107 N, 41.7693 E
74.9934 N, 110.7412 E
69.0222 S, 57.8256 E
64.2229 N, 142.4103 E
81.3256 N, 116.2157 E
56.2360 N, 36.4578 E
47.3340 S, 42.1089 W
58.5206 N, 94.4261 E
22.0468 N, 134.1881 E
41.2697 N, 4.3600 E
66.0796 S, 150.0983 W
54.6949 S, 18.2297 E
18.6398 N, 102.3469 E
75.2375 S, 177.9397 E
49.7356 S, 142.1117 W
66.8909 S, 91.8460 E
68.0020 S, 143.3334 W
32.7817 S, 150.0544 W
2.7512 N, 109.9575 E
2.8426 S, 26.2950 W
32.7463 N, 52.7473 W
83.6107 S, 150.1885 W
47.6391 N, 54.1627 W
8.9564 N, 46.6540 W
69.0588 N, 55.5190 W
0.5451 S, 95.5359 W
1.0167 S, 43.0279 E
21.7699 S, 76.3465 W
70.5793 S, 135.4848 W
32.6019 S, 3.0148 E
18.0453 S, 127.0818 W
48.1001 S, 178.7956 W
14.1141 N, 177.4323 E
84.8052 S, 75.6166 W
28.4469 S, 59.3960 W
25.4990 N, 42.2792 E
70.9625 S, 154.4491 W
58.0135 S, 129.2140 W
70.9321 S, 140.8649 E
43.4303 N, 74.4156 W
4.7871 S, 55.4442 E
0.6939 S, 161.4677 E
41.9410 S, 67.6456 W
46.6913 N, 7.0346 W
58.3265 S, 109.7015 W
48.9118 S, 74.2700 E
66.6618 S, 6.6247 W
11.8899 S, 169.2149 E
22.4722 S, 77.7944 E
18.1562 N, 175.9729 E
68.9015 N, 130.7122 E
39.1266 N, 174.1615 E
11.3224 N, 9.5036 E
28.4637 S, 42.0300 W
21.5999 S, 44.3402 E
5.4132 S, 11.0977 W
59.8486 S, 68.4096 W
75.4766 S, 58.7343 W
9.4722 S, 51.0503 E
23.0919 N, 138.1652 E
61.1454 N, 178.5428 W
76.6164 S, 78.1719 E
43.7935 N, 143.6243 E
16.5407 S, 165.8817 E
68.0757 S, 30.7287 E
60.1633 N, 145.7851 W
78.1216 N, 54.6619 E
76.1964 N, 56.6780 E
80.3031 S, 59.8673 W
60.2106 S, 145.2604 E
65.8979 N, 153.7478 E
55.3211 S, 68.6615 W
8.4185 S, 142.0767 W
39.1567 N, 34.1538 W
27.9270 N, 116.1101 W
6.0326 N, 5.0281 E
45.2118 N, 99.0528 E
75.1952 S, 66.2487 W
46.3897 S, 152.5592 E
30.1594 S, 102.0355 W
31.1020 S, 113.9147 E
28.3744 N, 78.4388 W
51.6235 S, 64.4841 W
8.3225 S, 13.5508 W
86.5882 N, 33.7030 E
60.7006 N, 155.9907 W
11.8550 N, 70.3547 W
31.9172 S, 160.7831 W
73.1883 N, 140.5439 E
42.9303 N, 36.7842 E
42.3762 S, 53.4777 W
19.2278 S, 169.5310 E
25.3056 N, 174.4811 E
37.4053 N, 74.3155 W
32.3588 N, 124.0859 E
7.0308 S, 58.9557 E
39.7111 S, 165.0809 E
75.9881 S, 40.1388 E
61.5774 N, 33.5191 E
89.4281 S, 113.6781 W
56.0410 S, 2.4798 E
13.7593 N, 63.2055 W
79.0527 S, 87.2555 E
24.6188 S, 134.2201 W
81.6253 N, 103.3838 E
71.6034 S, 126.4124 W
44.9154 S, 103.7216 W
62.8903 S, 61.0491 E
77.5611 N, 7.4206 E
55.2126 S, 75.8256 E
75.2832 S, 78.9845 W
88.3161 N, 121.6173 E
45.9825 N, 81.8058 W
8.1051 S, 141.9197 E
63.3860 N, 169.7416 E
75.3326 N, 112.2725 W
31.7813 N, 104.2264 W
60.0507 S, 153.8132 W
75.1670 N, 6.9733 E
29.1651 N, 113.1187 E
4.9075 S, 101.7938 E
72.1593 N, 14.7355 W
83.6879 S, 36.6572 W
35.7441 N, 34.1498 E
71.1830 S, 67.7327 E
12.3089 S, 62.7790 E
77.6664 N, 104.6180 W
8.9265 S, 131.6802 W
10.5388 S, 127.4820 W
10.1741 N, 131.0741 W
16.8733 N, 93.4038 E
88.9027 N, 35.4681 W
74.6061 N, 68.6496 E
68.4468 S, 146.5937 W
72.3361 S, 52.3512 W
9.4750 S, 125.6907 W
62.4821 N, 141.9595 W
12.2039 S, 23.9915 E
19.9234 S, 27.8171 E
64.8197 N, 178.7842 W
51.3542 N, 140.0866 W
68.9189 S, 170.8650 E
78.5472 N, 176.3879 E
7.4866 N, 101.0647 W
80.1238 S, 54.0581 W
40.5083 N, 81.1978 W
4.9298 S, 132.5463 W
44.2753 S, 168.9589 W
7.5978 S, 72.4155 E
7.7530 N, 74.9970 W
30.6235 S, 114.7910 W
35.9801 S, 83.3531 W
76.0549 S, 73.6583 W
5.7534 S, 113.6671 E
76.7718 S, 178.9072 E
69.6059 N, 166.9713 E
75.6598 S, 19.8124 W
71.3689 N, 165.2762 W
71.4153 S, 140.2818 W
76.3177 N, 114.3073 W
38.2470 N, 83.9546 W
31.1632 S, 65.6072 E
19.1334 N, 74.1394 E
66.0630 S, 171.7771 W
26.5125 N, 118.0036 W
87.5047 N, 16.9742 W
53.7060 S, 129.3718 W
39.9850 N, 9.6949 E
0.5288 N, 139.1908 W
75.0934 S, 60.6491 W
48.7211 S, 132.4407 W
46.1046 S, 121.3250 E
2.1539 S, 151.3695 W
64.9262 N, 120.1877 W
56.8300 S, 151.3094 E
52.1145 N, 110.8055 E
67.9033 S, 4.7283 W
20.8317 S, 37.7889 E
35.8631 S, 33.8939 E
13.3528 S, 94.2119 W
62.5014 S, 130.6823 E
12.6149 N, 124.0344 W
60.7544 S, 124.3734 W
71.2468 S, 41.1013 E
27.2889 S, 105.9085 E
53.1225 S, 43.1044 W
31.0349 S, 125.2615 W
86.6969 S, 137.1284 E
80.6467 N, 121.6956 E
14.8057 S, 170.5187 E
20.9949 S, 159.6511 E
76.2456 N, 160.0749 W
0.5247 N, 160.8640 E
84.5812 S, 18.9448 E
75.8984 S, 52.5348 E
52.9876 N, 74.9621 E
42.1570 S, 127.4925 W
46.2567 N, 5.7646 W
42.9626 S, 52.8545 E
74.6228 N, 169.1894 W
50.1583 S, 170.2719 W
40.8842 S, 45.7157 W
44.4609 S, 45.9797 E
8.6019 S, 125.9150 E
34.8390 N, 13.7247 W
83.0569 S, 97.6350 W
44.7170 N, 81.9171 W
67.2814 S, 19.5716 W
73.9123 N, 41.0899 W
67.8609 S, 40.4594 W
79.5614 N, 29.9628 W
85.5134 N, 115.5024 E
7.6333 N, 103.9452 E
89.6462 N, 113.1946 W
77.6539 S, 173.8082 E
34.3354 S, 25.8585 W
37.7507 N, 90.1675 W
7.5555 N, 123.4173 W
79.8755 S, 49.2269 E
45.8847 S, 107.9459 W
50.6971 N, 41.8648 W
16.1320 N, 142.7185 W
51.6993 S, 143.6896 W
1.7429 S, 123.1695 E
9.5408 S, 144.6523 W
41.7560 N, 115.1287 W
89.2362 S, 45.1678 E
19.4591 N, 130.7050 E
10.1642 N, 54.4068 W
45.3868 N, 72.6241 E
56.7646 S, 131.9639 W
71.8696 S, 168.5487 W
30.5456 S, 56.3449 E
35.3454 S, 76.5014 E
68.8702 N, 1.6674 E
51.6431 N, 124.7627 E
17.2158 S, 77.2850 W
51.1129 N, 80.8692 E
33.7051 S, 12.1108 E
47.6367 N, 10.9484 W
39.3305 N, 45.8194 W
5.9573 S, 42.6642 W
37.1408 N, 34.8471 E
67.9487 N, 8.9353 E
82.2866 N, 27.3447 E
5.9656 N, 79.9486 E
59.6235 S, 20.3179 E
68.2358 S, 53.8911 W
2.0896 N, 17.2497 W
67.8519 S, 90.1723 E
83.2422 N, 116.4723 E
55.7118 N, 84.6405 E
88.7407 S, 152.8240 W
72.4406 S, 154.9357 E
5.2343 N, 175.9644 W
7.3489 N, 121.8160 W
40.0845 S, 3.8796 E
16.3934 S, 83.6758 W
48.5370 S, 175.8906 W
6.9378 S, 99.4869 W
54.6423 N, 28.3358 E
26.8237 S, 163.3572 W
17.4431 S, 157.2985 E
24.6968 N, 156.1587 W
16.6596 S, 154.9159 W
8.9210 N, 124.4970 W
47.7834 S, 98.4734 E
32.1112 S, 172.9022 W
73.9675 S, 178.5308 E
16.3374 N, 176.0286 E
29.1982 N, 145.4988 W
74.4899 S, 104.5905 E
33.0870 S, 116.5719 W
45.0073 S, 53.8855 E
63.4613 N, 111.4345 E
55.0324 N, 126.7807 W
29.5598 S, 130.1329 W
83.0550 N, 97.0261 E
71.0817 N, 179.9649 E
53.3585 S, 68.2515 W
29.3719 N, 61.8699 W
31.4053 N, 124.9757 E
45.4670 N, 154.4166 E
0.3865 S, 154.2040 E
78.8112 S, 127.4399 W
44.8717 S, 44.5623 E
25.3424 N, 34.2209 W
37.2365 S, 120.1985 E
32.5965 N, 69.3125 W
63.1048 S, 97.2995 E
24.0009 N, 13.4195 W
53.2924 S, 154.4318 W
26.8220 N, 147.7294 W
75.3212 S, 67.5152 E
16.2956 N, 151.0460 W
63.3364 S, 83.6923 E
40.5693 N, 120.4609 W
46.8080 N, 160.0033 E
64.4476 N, 129.2517 E
76.4300 S, 160.7891 E
78.5268 S, 43.8569 E
39.9898 N, 102.6691 W
78.1839 N, 34.8920 W
32.7933 N, 45.6001 W
2.7545 S, 56.9077 W
84.6704 S, 26.9559 W
70.7673 N, 148.7811 E
38.4388 S, 61.4751 W
38.6102 N, 162.8785 E
80.1241 S, 28.1170 E
45.9608 N, 109.5717 E
18.2420 N, 7.1838 W
85.8564 S, 15.5552 W
20.4023 N, 63.7584 W
49.3707 S, 165.9533 W
13.1121 S, 82.7550 W
29.9161 S, 144.1283 W
17.9287 S, 75.9282 E
